b_num,b_pixels,white_percentage,black_percentage,m,k,rand
0,40000,1.0,0.0,4,2,True
1,40000,0.8475425043120317,0.1524574956879683,4,2,True
2,40000,0.7174278549997826,0.28257214500021743,4,2,True
3,40000,0.6068586668212718,0.39314133317872824,4,2,True
4,40000,0.5164944269708521,0.4835055730291479,4,2,True
5,40000,0.43864594958908876,0.5613540504109112,4,2,True
