b_num,b_pixels,white_percentage,black_percentage,m,k,rand
0,20000,1.0,0.0,4,2,True
1,20000,0.9238908295044425,0.07610917049555754,4,2,True
2,20000,0.8539272100068123,0.14607278999318773,4,2,True
3,20000,0.7889133680228428,0.21108663197715716,4,2,True
4,20000,0.7289217746727928,0.27107822532720716,4,2,True
5,20000,0.6699085414462337,0.3300914585537663,4,2,True
