b_num,b_pixels,white_percentage,black_percentage,m,k,rand
0,80000,1.0,0.0,4,2,True
1,80000,0.6953893873291493,0.30461061267085066,4,2,True
2,80000,0.48351282014117375,0.5164871798588262,4,2,True
3,80000,0.3334541185337643,0.6665458814662357,4,2,True
4,80000,0.23503109011059092,0.764968909889409,4,2,True
5,80000,0.16253098140391053,0.8374690185960895,4,2,True
